Survey,TVD [ft] PWP,TVD [ft] Sim,HD[ft] PWP,HD[ft] Sim,,,,,
171,1468.3944,1454.9552,3591.5492,3601.1594,,,,,
172,1412.2887,1399.2887,3745.6982,3755.4840,,,,,
173,1356.1830,1343.4941,3899.8473,3909.7623,,,,,
174,1300.0774,1287.6262,4053.9963,4063.9581,,,,,
175,1243.9717,1231.6755,4208.1454,4218.1799,,,,,
176,1187.8660,1175.6786,4362.2945,4372.3849,,,,,
177,1107.6000,1143.4419,4590.3001,4461.1100,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
